,0
0,1079802.4066082928
1,1398560.6565116115
2,1193551.26577625
3,654181.5892979682
4,293231.4067820222
5,1080181.819139103
6,895472.9357850422
7,445637.9725208832
8,814934.0433904503
9,379323.49741554377
10,648745.6062215553
11,1149413.807033931
12,1199010.138462198
13,118532.19149611704
14,762144.7231528054
15,746054.5580214555
16,1435898.6574593536
17,701357.2208632655
18,1077137.2069864292
19,764592.7202098414
20,678290.9974178273
21,816521.7644784418
22,929873.0518461973
23,1023176.2014747977
24,365671.23553368705
25,990582.8359972972
26,1351184.0194379487
27,799273.8234270972
28,677820.3470063106
29,1365690.4085466545
30,889869.7326898759
31,382503.8157696049
32,1171017.4943411942
33,972013.9486351076
34,658002.2894327219
35,1208650.4291504312
36,1144718.5566058527
37,1202470.8329407966
38,1006097.9268215599
39,474472.2798726943
40,1122431.1808421498
41,922371.7151579283
42,678686.7340293918
43,838932.2151793148
44,956182.4142554732
45,990699.4852437677
46,913247.2712954021
47,1011926.0074683074
48,973573.7567511082
49,948902.5494611016
50,1178828.4996035562
51,1149348.0517751973
52,1153038.1027716966
53,620388.4402020958
54,951387.8560793183
55,829365.8111846098
56,859908.4349264222
57,1234760.1628354453
58,829896.7275998124
59,1069085.1232756802
60,831684.2315254825
61,947479.2274929928
62,832645.7222424471
63,904796.91825947
64,1282967.6616644133
65,882187.8080917522
66,1261404.2164534535
67,877714.6401071937
68,648762.398643682
69,1226285.317202612
70,298200.5516679827
71,947650.6056815764
72,775461.5766768638
73,620099.0514802744
74,686671.66939763
75,1117682.2370772583
76,616576.5976913511
77,506582.69286751514
78,647093.6553224989
79,813722.8902321317
80,1059168.0229299814
81,889612.38130799
82,788717.6394092152
83,821815.454840232
84,990780.9808255914
85,1387366.483073875
86,371545.1485012027
87,495592.0329129185
88,533182.1994593473
89,1182318.7240371087
90,1055540.0521752662
91,864643.4303329112
92,672496.6744206826
93,660866.1690849373
94,1283668.4159594728
95,696143.8183647771
96,911436.6954094049
97,1400538.2687969704
98,788325.3508382809
99,1370908.8183568213
100,481581.1607154553
101,1471193.0879984258
102,555566.4525129129
103,1040144.8418684895
104,927389.3577865205
105,476848.4215482939
106,1004819.5767410378
107,649321.7052052892
108,387103.9106347903
109,412487.2046394021
110,902294.058173825
111,992413.7344300941
112,859648.8194756705
113,944642.1768859355
114,892804.620378502
115,468522.374282948
116,1018786.1822841389
117,1322497.7732973327
118,991763.2727392111
119,1119635.392186578
120,926535.4513654689
121,886185.1721245709
122,1108924.0286845923
123,948647.2386123945
124,1044997.8486978839
125,1020581.883039366
126,1008476.1370654039
127,1044686.7591810945
128,1104350.0549201297
129,1118459.5019290615
130,819907.4677482585
131,691953.136246759
132,218496.53873714292
133,947210.6936639084
134,845394.0250634799
135,1093387.1625110824
136,1683821.1350414744
137,745868.1187065961
138,983204.3280334725
139,907565.6484562007
140,499070.5795118237
141,779181.9007569884
142,714284.7714665551
143,885901.7568791597
144,1044424.3142943179
145,753835.0225428882
146,568384.6716521112
147,922169.5614803897
148,1024712.9009794982
149,733121.6644573075
150,791478.0066606366
151,883683.5476760932
152,860226.4534389611
153,695458.1432712851
154,1114116.3552558322
155,806520.7282944712
156,556722.8026263767
157,533168.0084388967
158,949776.1587194768
159,800909.1612702466
160,1202287.1694001467
161,969865.3091382755
162,834028.683802141
163,833100.4098674088
164,1149551.5670999484
165,920077.143595408
166,776459.3314269462
167,336384.18114308524
168,457684.5648005712
169,889968.2922107319
170,824577.2801495667
171,408560.63421006664
172,884235.6259686076
173,652951.9920887419
174,851876.2886276233
175,1097444.3734539417
176,873730.301713631
177,662905.7156804666
178,856047.501296587
179,815140.6808739363
180,898541.0697104948
181,944949.7187298554
182,1043268.5649830035
183,859870.8847407605
184,899190.2544032207
185,1028389.8508603361
186,946265.4423381895
187,480190.3258931029
188,976998.2400941305
189,256902.1152510494
190,859123.6672236694
191,1058057.7323254896
192,967974.5246915728
193,1211086.0243533368
194,1470138.0487579792
195,901429.1509205869
196,929697.6475490703
197,859342.3990806555
198,816692.8530876241
199,830723.1055056343
200,798979.9462944829
201,600172.6226038341
202,1002008.4577625359
203,583900.8690701841
204,989997.4772294026
205,738252.9185595408
206,781351.9665657892
207,1206830.6128310245
208,959008.0304786689
209,882409.0541677092
210,962809.8290170564
211,355905.8820391196
212,1012401.3511938455
213,1055497.4978681894
214,1049384.676229518
215,823978.9222996342
216,469816.14667850384
217,867923.3063312483
218,937507.8797620336
219,743651.6897493426
220,801948.3796496945
221,1445775.8633301281
222,911071.0084513691
223,664415.3701713292
224,911801.7345585992
225,935104.5460457733
226,872049.0175902544
227,1245294.1630522893
228,314373.5260110892
229,799982.3550850198
230,1171793.0589136889
231,453497.5226116434
232,760441.3993201674
233,1086712.8570061424
234,734113.5496741835
235,951342.2863788167
236,777015.6233768348
237,1462805.0729954443
238,1030560.2576067667
239,1144527.6576578454
240,856836.9493329243
241,232123.20871214615
242,752997.7657250755
243,1200988.015753088
244,889252.8306685148
245,131763.99187123124
246,1046354.1209582206
247,1128739.6457693975
248,1125217.2454951573
249,599448.4316897733
250,1204003.4017533218
251,649908.5544509194
252,1426456.1934338312
253,860363.2666770124
254,1566850.0315013556
255,546318.1480212205
256,1127636.4670033883
257,1009081.6007359052
258,956846.9824623032
259,679872.4168974666
260,761221.2681063276
261,505513.44860238745
262,1107960.6407154766
263,800400.8169184292
264,872291.51240565
265,981090.7183968098
266,788930.6033857203
267,665025.5224009854
268,704176.699663848
269,1023988.0736996126
270,1326850.8994311364
271,878287.5266459449
272,944414.127269406
273,850284.3245628724
274,783466.2262656317
275,1157818.0865805908
276,471035.57767924876
277,556431.5517317394
278,770098.101565555
279,485470.86581593053
280,922902.5937484673
281,737779.5826649447
282,374758.1621524537
283,363966.54485396005
284,817857.622373756
285,1137612.7298411657
286,856638.5376107257
287,1035507.1555863317
288,645380.5889485397
289,854824.8800711387
290,1038376.4925960349
291,1037610.6735406176
